s_bene,genere,nome_regione,nome_provincia,nome_comune,categoria,sottocategoria,provvedimento,quota_confiscata,ufficio_giudiziario,distretto,tipologia_procedura
I-AG-132856-S,immobili,Sicilia,Agrigento,Santa Margherita di Belice,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,100%,Tribunale,Palermo,Misure di Prevenzione
I-AG-16643-S,immobili,Sicilia,Agrigento,Agrigento,Unità immobiliare per uso di abitazione e assimilabile,Abitazione indipendente,Confisca def.,100%,Tribunale,Torino,Misure di Prevenzione
I-AG-18110-S,immobili,Sicilia,Agrigento,Agrigento,Terreno,Terreno agricolo,Confisca def.,50%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-18111-S,immobili,Sicilia,Agrigento,Agrigento,Terreno,Terreno agricolo,Confisca def.,50%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-18112-S,immobili,Sicilia,Agrigento,Agrigento,Terreno,Terreno agricolo,Confisca def.,16%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-18113-S,immobili,Sicilia,Agrigento,Agrigento,Terreno,Terreno agricolo,Confisca def.,16%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-18114-S,immobili,Sicilia,Agrigento,Agrigento,Altra unità immobiliare,Ex fabbricato rurale,Confisca def.,16%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-18115-S,immobili,Sicilia,Agrigento,San Biagio Platani,Terreno,Terreno agricolo,Confisca def.,19%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-18116-S,immobili,Sicilia,Agrigento,San Biagio Platani,Terreno,Terreno agricolo,Confisca def.,19%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-18117-S,immobili,Sicilia,Agrigento,Raffadali,Terreno,Terreno agricolo,Confisca def.,33%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-18118-S,immobili,Sicilia,Agrigento,Sant'Angelo Muxaro,Terreno,Terreno agricolo,Confisca def.,19%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-18195-S,immobili,Sicilia,Agrigento,Realmonte,Terreno,Terreno agricolo,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-18196-S,immobili,Sicilia,Agrigento,Realmonte,Terreno,Terreno agricolo,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-18197-S,immobili,Sicilia,Agrigento,Realmonte,Terreno,Terreno agricolo,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-18198-S,immobili,Sicilia,Agrigento,Realmonte,Terreno,Terreno agricolo,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-18199-S,immobili,Sicilia,Agrigento,Realmonte,Terreno,Terreno agricolo,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-18200-S,immobili,Sicilia,Agrigento,Realmonte,Terreno,Terreno con fabbricato rurale,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-18201-S,immobili,Sicilia,Agrigento,Realmonte,Altra unità immobiliare,Altra unità  immobil. - non definito,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-18216-S,immobili,Sicilia,Agrigento,Realmonte,Terreno,Terreno agricolo,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-18217-S,immobili,Sicilia,Agrigento,Realmonte,Terreno,Terreno con fabbricato rurale,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-1836-S,immobili,Sicilia,Agrigento,Campobello di Licata,Terreno,Terreno - non definito,Confisca def.,100%,Procura della Repubblica,Milano,Procedimento Penale
I-AG-1837-S,immobili,Sicilia,Agrigento,Campobello di Licata,Terreno,Terreno - non definito,Confisca def.,100%,Procura della Repubblica,Milano,Procedimento Penale
I-AG-1864-S,immobili,Sicilia,Agrigento,Ravanusa,Terreno,Terreno - non definito,Confisca def.,100%,Procura della Repubblica,Milano,Procedimento Penale
I-AG-1865-S,immobili,Sicilia,Agrigento,Ravanusa,Terreno,Terreno - non definito,Confisca def.,100%,Procura della Repubblica,Milano,Procedimento Penale
I-AG-19-S,immobili,Sicilia,Agrigento,Menfi,Terreno,Terreno agricolo,Confisca def.,50%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-20-S,immobili,Sicilia,Agrigento,Menfi,Terreno,Terreno agricolo,Confisca def.,50%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-20977-S,immobili,Sicilia,Agrigento,Campobello di Licata,Terreno,Terreno agricolo,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-20978-S,immobili,Sicilia,Agrigento,Campobello di Licata,Terreno,Terreno con fabbricato rurale,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-21-S,immobili,Sicilia,Agrigento,Menfi,Terreno,Terreno agricolo,Confisca def.,50%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-21034-S,immobili,Sicilia,Agrigento,Realmonte,Unità immobiliare per uso di abitazione e assimilabile,Abitazione indipendente,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-21035-S,immobili,Sicilia,Agrigento,Realmonte,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-21036-S,immobili,Sicilia,Agrigento,Realmonte,Unità immobiliare a destinazione commerciale e industriale,"Magazzino, Locale di deposito",Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-21037-S,immobili,Sicilia,Agrigento,Realmonte,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-21038-S,immobili,Sicilia,Agrigento,Realmonte,Unità immobiliare a destinazione commerciale e industriale,"Magazzino, Locale di deposito",Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-21039-S,immobili,Sicilia,Agrigento,Realmonte,Unità immobiliare a destinazione commerciale e industriale,"Magazzino, Locale di deposito",Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-21040-S,immobili,Sicilia,Agrigento,Realmonte,Unità immobiliare per uso di abitazione e assimilabile,Abitazione indipendente,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-21041-S,immobili,Sicilia,Agrigento,Realmonte,Terreno,Terreno - non definito,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-21042-S,immobili,Sicilia,Agrigento,Realmonte,Terreno,Terreno - non definito,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-21078-S,immobili,Sicilia,Agrigento,Agrigento,Terreno,Terreno con fabbricato rurale,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-21489-S,immobili,Sicilia,Agrigento,Racalmuto,Terreno,Terreno con fabbricato rurale,Confisca def.,50%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-21490-S,immobili,Sicilia,Agrigento,Racalmuto,Terreno,Terreno con fabbricato rurale,Confisca def.,50%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-21520-S,immobili,Sicilia,Agrigento,Santa Margherita di Belice,Terreno,Terreno - non definito,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-21521-S,immobili,Sicilia,Agrigento,Menfi,Terreno,Terreno edificabile,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-21522-S,immobili,Sicilia,Agrigento,Menfi,Terreno,Terreno edificabile,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-21538-S,immobili,Sicilia,Agrigento,Menfi,Terreno,Terreno agricolo,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-23-S,immobili,Sicilia,Agrigento,Menfi,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-24-S,immobili,Sicilia,Agrigento,Menfi,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-24406-S,immobili,Sicilia,Agrigento,Aragona,Terreno,Terreno agricolo,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-24409-S,immobili,Sicilia,Agrigento,Aragona,Terreno,Terreno agricolo,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-24410-S,immobili,Sicilia,Agrigento,Aragona,Terreno,Terreno agricolo,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-24411-S,immobili,Sicilia,Agrigento,Aragona,Terreno,Terreno agricolo,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-24888-S,immobili,Sicilia,Agrigento,Porto Empedocle,Terreno,Terreno agricolo,Confisca def.,50%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-24889-S,immobili,Sicilia,Agrigento,Porto Empedocle,Terreno,Terreno con fabbricato rurale,Confisca def.,50%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-28650-S,immobili,Sicilia,Agrigento,Porto Empedocle,Terreno,Terreno con fabbricato rurale,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-28797-S,immobili,Sicilia,Agrigento,Cattolica Eraclea,Terreno,Terreno - non definito,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-36933-S,immobili,Sicilia,Agrigento,Agrigento,Terreno,Terreno con fabbricato rurale,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-36934-S,immobili,Sicilia,Agrigento,Agrigento,Terreno,Terreno agricolo,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-36935-S,immobili,Sicilia,Agrigento,Agrigento,Terreno,Terreno agricolo,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-36936-S,immobili,Sicilia,Agrigento,Agrigento,Terreno,Terreno con fabbricato rurale,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-36937-S,immobili,Sicilia,Agrigento,Agrigento,Terreno,Terreno con fabbricato rurale,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-36938-S,immobili,Sicilia,Agrigento,Agrigento,Terreno,Terreno con fabbricato rurale,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-36939-S,immobili,Sicilia,Agrigento,Agrigento,Terreno,Terreno con fabbricato rurale,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-36940-S,immobili,Sicilia,Agrigento,Agrigento,Terreno,Terreno con fabbricato rurale,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-36941-S,immobili,Sicilia,Agrigento,Cianciana,Terreno,Terreno agricolo,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-36942-S,immobili,Sicilia,Agrigento,Agrigento,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-36943-S,immobili,Sicilia,Agrigento,Agrigento,Unità immobiliare a destinazione commerciale e industriale,"Negozio, Bottega",Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-37237-S,immobili,Sicilia,Agrigento,Agrigento,Unità immobiliare per uso di abitazione e assimilabile,Villa,Confisca I,0%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-37238-S,immobili,Sicilia,Agrigento,Agrigento,Unità immobiliare per uso di abitazione e assimilabile,Villa,Confisca I,50%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-37239-S,immobili,Sicilia,Agrigento,Agrigento,Unità immobiliare per uso di abitazione e assimilabile,Villa,Confisca I,50%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-37240-S,immobili,Sicilia,Agrigento,Agrigento,Unità immobiliare a destinazione commerciale e industriale,"Magazzino, Locale di deposito",Confisca def.,50%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-37241-S,immobili,Sicilia,Agrigento,Agrigento,Altra unità immobiliare,Altra unità  immobil. - non definito,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-37242-S,immobili,Sicilia,Agrigento,Agrigento,Unità immobiliare per uso di abitazione e assimilabile,Unità  uso abit. e assimil. - non definito,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-37249-S,immobili,Sicilia,Agrigento,Agrigento,Terreno,Terreno agricolo,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-37250-S,immobili,Sicilia,Agrigento,Agrigento,Terreno,Terreno agricolo,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-37251-S,immobili,Sicilia,Agrigento,Agrigento,Terreno,Terreno agricolo,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-37252-S,immobili,Sicilia,Agrigento,Agrigento,Terreno,Terreno agricolo,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-37253-S,immobili,Sicilia,Agrigento,Agrigento,Terreno,Terreno agricolo,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-37254-S,immobili,Sicilia,Agrigento,Agrigento,Terreno,Terreno agricolo,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-37255-S,immobili,Sicilia,Agrigento,Agrigento,Terreno,Terreno agricolo,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-37275-S,immobili,Sicilia,Agrigento,Agrigento,Unità immobiliare a destinazione commerciale e industriale,"Negozio, Bottega",Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-37276-S,immobili,Sicilia,Agrigento,Agrigento,Unità immobiliare a destinazione commerciale e industriale,Unità  a dest. comm. e ind. - non definito,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-37277-S,immobili,Sicilia,Agrigento,Agrigento,Unità immobiliare a destinazione commerciale e industriale,Unità  a dest. comm. e ind. - non definito,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-37278-S,immobili,Sicilia,Agrigento,Agrigento,Unità immobiliare a destinazione commerciale e industriale,Unità  a dest. comm. e ind. - non definito,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-37280-S,immobili,Sicilia,Agrigento,Agrigento,Unità immobiliare a destinazione commerciale e industriale,Unità  a dest. comm. e ind. - non definito,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-37281-S,immobili,Sicilia,Agrigento,Agrigento,Terreno,Terreno agricolo,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-37282-S,immobili,Sicilia,Agrigento,Agrigento,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca I,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-37287-S,immobili,Sicilia,Agrigento,Agrigento,Terreno,Terreno agricolo,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-37288-S,immobili,Sicilia,Agrigento,Agrigento,Terreno,Terreno agricolo,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-37703-S,immobili,Sicilia,Agrigento,Agrigento,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-37706-S,immobili,Sicilia,Agrigento,Agrigento,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca I,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-37707-S,immobili,Sicilia,Agrigento,Agrigento,Altra unità immobiliare,Altro,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-37708-S,immobili,Sicilia,Agrigento,Agrigento,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-37709-S,immobili,Sicilia,Agrigento,Agrigento,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-37710-S,immobili,Sicilia,Agrigento,Agrigento,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-37711-S,immobili,Sicilia,Agrigento,Agrigento,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-37841-S,immobili,Sicilia,Agrigento,Agrigento,Terreno,Terreno agricolo,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-37845-S,immobili,Sicilia,Agrigento,Agrigento,Unità immobiliare a destinazione commerciale e industriale,"Magazzino, Locale di deposito",Confisca def.,60%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-37846-S,immobili,Sicilia,Agrigento,Agrigento,Terreno,Terreno - non definito,Confisca I,15%,Tribunale,Agrigento,Misure di Prevenzione
